review,category,cleaned_review,review_length
The product quality is very poor and damaged,Product Quality Issue,product quality poor damaged,44
"Excellent quality, totally worth the price",Positive Feedback,excellent quality totally worth price,42
Delivery was late and package was broken,Delivery Issue,delivery late package broken,40
Fast delivery and good packaging,Positive Feedback,fast delivery good packaging,32
Customer service did not respond properly,Service Issue,customer service respond properly,41
"Very rude support team, bad service",Service Issue,rude support team bad service,35
"Amazing product, I love it",Positive Feedback,amazing product love,26
Totally satisfied with the product,Positive Feedback,totally satisfied product,34
The item stopped working after one week,Product Quality Issue,item stopped working one week,39
Worst delivery experience ever,Delivery Issue,worst delivery experience ever,30
Support team helped me quickly,Positive Feedback,support team helped quickly,30
Great service and quick response,Positive Feedback,great service quick response,32
Build quality is very bad,Product Quality Issue,build quality bad,25
Product works perfectly fine,Positive Feedback,product works perfectly fine,28
Delivery delay ruined the experience,Delivery Issue,delivery delay ruined experience,36
Happy with the purchase,Positive Feedback,happy purchase,23
